File name (category),Version,Level,Count
setup.py (requests),v2.30.0,B1,7
setup.py (requests),v2.31.0,B1,7
status_codes.py (requests),v2.27.0,B1,2
status_codes.py (requests),v2.27.1,B1,2
status_codes.py (requests),v2.28.0,B1,2
status_codes.py (requests),v2.28.1,B1,2
status_codes.py (requests),v2.28.2,B1,2
status_codes.py (requests),v2.29.0,B1,2
status_codes.py (requests),v2.30.0,B1,2
status_codes.py (requests),v2.31.0,B1,2
structures.py (requests),v2.27.0,B1,4
structures.py (requests),v2.27.1,B1,4
structures.py (requests),v2.28.0,B1,4
structures.py (requests),v2.28.1,B1,4
structures.py (requests),v2.28.2,B1,4
structures.py (requests),v2.29.0,B1,4
structures.py (requests),v2.30.0,B1,4
structures.py (requests),v2.31.0,B1,4
test_help.py (tests),v2.27.0,B1,1
test_help.py (tests),v2.27.1,B1,1
test_help.py (tests),v2.28.0,B1,1
test_help.py (tests),v2.28.1,B1,1
test_help.py (tests),v2.28.2,B1,1
test_help.py (tests),v2.29.0,B1,1
test_help.py (tests),v2.30.0,B1,1
test_help.py (tests),v2.31.0,B1,1
test_hooks.py (tests),v2.27.0,B1,2
test_hooks.py (tests),v2.27.1,B1,2
test_hooks.py (tests),v2.28.0,B1,2
test_hooks.py (tests),v2.28.1,B1,2
test_hooks.py (tests),v2.28.2,B1,2
test_hooks.py (tests),v2.29.0,B1,2
test_hooks.py (tests),v2.30.0,B1,2
test_hooks.py (tests),v2.31.0,B1,2
test_lowlevel.py (tests),v2.27.0,B1,17
test_lowlevel.py (tests),v2.27.1,B1,17
test_lowlevel.py (tests),v2.28.0,B1,19
test_lowlevel.py (tests),v2.28.1,B1,19
test_lowlevel.py (tests),v2.28.2,B1,19
test_lowlevel.py (tests),v2.29.0,B1,19
test_lowlevel.py (tests),v2.30.0,B1,19
test_lowlevel.py (tests),v2.31.0,B1,19
test_requests.py (tests),v2.27.0,B1,110
test_requests.py (tests),v2.27.1,B1,110
test_requests.py (tests),v2.28.0,B1,118
test_requests.py (tests),v2.28.1,B1,118
test_requests.py (tests),v2.28.2,B1,118
test_requests.py (tests),v2.29.0,B1,123
test_requests.py (tests),v2.30.0,B1,123
test_requests.py (tests),v2.31.0,B1,123
test_structures.py (tests),v2.27.0,B1,2
